name,yahoo_ticker,isin,country,exchange,sector,enabled
Ackermans & Van Haaren NV,ACKB.BR,BE0003764785,BE,EURONEXT,,true
Aedifica,AED.BR,BE0003851681,BE,EURONEXT,,true
AGFA Gevaert NV,AGFB.BR,BE0003755692,BE,EURONEXT,,true
ageas SA/NV,AGS.BR,BE0974264930,BE,EURONEXT,,true
EUROPEAN MEDICAL SOLUTIONS,ALEMS.BR,,BE,EURONEXT,,true
Argen-X,ARGX.BR,NL0010832176,BE,EURONEXT,,true
Ascencio (D),ASCE.BR,BE0003856730,BE,EURONEXT,,true
Atenor SA,ATEB.BR,BE0003837540,BE,EURONEXT,,true
Azelis Group NV,AZE.BR,BE0974400328,BE,EURONEXT,,true
Banimmo SA,BANI.BR,BE0003870871,BE,EURONEXT,,true
BANQUP GROUP,BANQ.BR,,BE,EURONEXT,,true
Barco NV,BAR.BR,BE0974362940,BE,EURONEXT,,true
Aliaxis SA,BE0941243520.BR,BE0941243520,BE,EURONEXT,,true
Etex NV,BE0941244536.BR,BE0941244536,BE,EURONEXT,,true
SCR- Sibelco NV,BE0944264663.BR,,BE,EURONEXT,,true
NV Bekaert SA,BEKB.BR,BE0974258874,BE,EURONEXT,,true
Belysse Group N.V.,BELYS.BR,BE0974314461,BE,EURONEXT,,true
Banque nationale de Belgique Société anonyme,BNB.BR,BE0003008019,BE,EURONEXT,,true
Bpost NV,BPOST.BR,BE0974268972,BE,EURONEXT,,true
Brederode SA,BREB.BR,LU1068091351,BE,EURONEXT,,true
Biotalys NV,BTLS.BR,BE0974386188,BE,EURONEXT,,true
Campine,CAMB.BR,BE0003825420,BE,EURONEXT,,true
Candela Invest SA,CAND.BR,BE0974298300,BE,EURONEXT,,true
Cenergy Holdings SA,CENER.BR,BE0974303357,BE,EURONEXT,,true
Compagnie d Entreprises CFE SA,CFEB.BR,BE0003883031,BE,EURONEXT,,true
CMB.TECH NV,CMBT.BR,BE0003816338,BE,EURONEXT,,true
Brouwerij Handelsmaatschappij NV,COBH.BR,BE0003519270,BE,EURONEXT,,true
Cofinimmo SA,COFB.BR,BE0003593044,BE,EURONEXT,,true
Etablissementen Franz Colruyt NV,COLR.BR,BE0974256852,BE,EURONEXT,,true
Compagnie du Bois Sauvage SA,COMB.BR,BE0003592038,BE,EURONEXT,,true
Care Property Invest NV,CPINV.BR,BE0974273055,BE,EURONEXT,,true
Celyad SA,CYAD.BR,BE0974260896,BE,EURONEXT,,true
Deceuninck,DECB.BR,BE0003789063,BE,EURONEXT,,true
DEME Group NV,DEME.BR,BE0974413453,BE,EURONEXT,,true
D'Ieteren Group SA,DIE.BR,BE0974259880,BE,EURONEXT,,true
Immolease Trust NV,DIEG.BR,BE0003698124,BE,EURONEXT,,true
Econocom Group SA/NV,ECONB.BR,BE0974313455,BE,EURONEXT,,true
Ekopak BV,EKOP.BR,BE0974380124,BE,EURONEXT,,true
Elia Group SA/NV,ELI.BR,BE0003822393,BE,EURONEXT,,true
EnergyVision NV,ENRGY.BR,BE0974499312,BE,EURONEXT,,true
EVS Broadcast Equipment SA,EVS.BR,BE0003820371,BE,EURONEXT,,true
Exmar NV,EXM.BR,BE0003808251,BE,EURONEXT,,true
Fagron NV,FAGR.BR,BE0003874915,BE,EURONEXT,,true
Floridienne,FLOB.BR,BE0003215143,BE,EURONEXT,,true
Flowsparks NV,FLSP.BR,,BE,EURONEXT,,true
Fluxys Belgium,FLUX.BR,BE0974265945,BE,EURONEXT,,true
Fountain,FOU.BR,BE0003752665,BE,EURONEXT,,true
Groep Brussel Lambert NV,GBLB.BR,BE0003797140,BE,EURONEXT,,true
GIMV NV,GIMB.BR,BE0003699130,BE,EURONEXT,,true
